,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1050332979,0.1019690631,0.0984756502,0.0945956432,0.0904940360,0.0863135643,0.0821348325,0.0779743534,0.0738199014,0.0696429660,0.0654120100,0.0611036997,0.0567096315,0.0522370321,0.0477038977,0.0431307602,0.0385321156,0.0339103461,0.0292539121,0.0245402748,0.0197431331,0.0148439301,0.0098473434,0.0048342262,-0.0000250300,-0.0045053376,-0.0085253724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1261611133,0.1238835005,0.1210227034,0.1176699517,0.1140021013,0.1101660858,0.1055098585,0.1020893082,0.0984049343,0.0944721676,0.0903905241,0.0862555702,0.0821238876,0.0780070357,0.0738923097,0.0697533051,0.0655615548,0.0612963735,0.0569505145,0.0525303863,0.0480514602,0.0435309767,0.0389806601,0.0344017916,0.0297839658,0.0251076974,0.0203503558,0.0154952198,0.0105433405,0.0055459812,0.0006099913,-0.0041323487,-0.0086464977,-0.0145519885,-0.0199793283,-0.0253702351,-0.0304753757,-0.0349983322,-0.0387945441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1315837638,0.1313028535,0.1303256433,0.1286570615,0.1261616432,0.1236812965,0.1207019868,0.1173196204,0.1136756645,0.1098850809,0.1057392316,0.1020554326,0.0982379454,0.0942877827,0.0902532864,0.0861884982,0.0821269885,0.0780745448,0.0740183970,0.0699354824,0.0658019127,0.0616008624,0.0573267008,0.0529845370,0.0485860457,0.0441435676,0.0396647074,0.0351490932,0.0305879605,0.0259663292,0.0212671460,0.0164771054,0.0115939476,0.0066414868,0.0016698881,-0.0032651931,-0.0081612316,-0.0136042719,-0.0190056069,-0.0243981261,-0.0295915124,-0.0343616689,-0.0385778268,-0.0431488092,-0.0468929599,-0.0498424259,-0.0519185157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1242141687,0.1262455337,0.1280658419,0.1294815230,0.1308964372,0.1307201458,0.1297904028,0.1281498504,0.1258605783,0.1232352437,0.1201801852,0.1167974565,0.1131999549,0.1094751236,0.1056131691,0.1018319204,0.0979842722,0.0940711112,0.0901142936,0.0861410081,0.0821680083,0.0781960070,0.0742130231,0.0702004123,0.0661399504,0.0620194472,0.0578351076,0.0535903250,0.0492920561,0.0449466233,0.0405565878,0.0361195330,0.0316286510,0.0270744481,0.0224468838,0.0177377355,0.0129433104,0.0080689117,0.0031277056,-0.0018691802,-0.0069318375,-0.0121871597,-0.0175421590,-0.0229136485,-0.0281634676,-0.0331271763,-0.0376806538,-0.0420124121,-0.0457997837,-0.0488438513,-0.0510547975,-0.0520871166,-0.0529867152,-0.0532751781,-0.0530344388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1126993774,0.1154980500,0.1185906431,0.1230253352,0.1253812741,0.1273681156,0.1288323810,0.1299468209,0.1298606027,0.1289892387,0.1273991777,0.1252091096,0.1225465746,0.1194922880,0.1161532808,0.1126268770,0.1089844722,0.1052620763,0.1015103478,0.0977147537,0.0938809738,0.0900212406,0.0861489112,0.0822708830,0.0783846443,0.0744798731,0.0705426908,0.0665605819,0.0625258640,0.0584364035,0.0542937590,0.0501001542,0.0458559637,0.0415587958,0.0372042262,0.0327873555,0.0283041085,0.0237515792,0.0191274342,0.0144289407,0.0096525203,0.0047929252,-0.0001584440,-0.0052148481,-0.0103933101,-0.0156779573,-0.0209957162,-0.0262406401,-0.0312817656,-0.0359944200,-0.0402911737,-0.0440936259,-0.0472021182,-0.0495250323,-0.0507701408,-0.0516818726,-0.0519332383,-0.0515824050,-0.0492000774,-0.0479100286,-0.0465960369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1010891408,0.1037036396,0.1068268054,0.1115775531,0.1146844463,0.1179087320,0.1216638386,0.1242603232,0.1263727667,0.1278780138,0.1287871753,0.1287700140,0.1279715639,0.1264618985,0.1243507824,0.1217448043,0.1187584172,0.1155003053,0.1120622792,0.1085105053,0.1048867195,0.1012141718,0.0975049618,0.0937672670,0.0900089273,0.0862359926,0.0824499676,0.0786468486,0.0748183608,0.0709549139,0.0670488048,0.0630959908,0.0590955619,0.0550474649,0.0509500374,0.0467988796,0.0425876920,0.0383105272,0.0339641009,0.0295487987,0.0250677034,0.0205238815,0.0159169128,0.0112401223,0.0064799988,0.0016188037,-0.0033592708,-0.0084575969,-0.0136537412,-0.0188896053,-0.0240720211,-0.0290821354,-0.0337928567,-0.0380746485,-0.0418371271,-0.0449433728,-0.0473110859,-0.0487882031,-0.0497098585,-0.0499455099,-0.0495420842,-0.0478405514,-0.0465396426,-0.0451003121,-0.0418739401,-0.0401783175,-0.0386977799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0933321481,0.0960148025,0.1001258828,0.1030485134,0.1063076137,0.1103695505,0.1136885435,0.1169792723,0.1202862834,0.1229744409,0.1251404413,0.1266741190,0.1275186654,0.1275700902,0.1268659613,0.1254672100,0.1234658467,0.1209686245,0.1180882579,0.1149321800,0.1115909979,0.1081315605,0.1045975506,0.1010148953,0.0973982499,0.0937561087,0.0900934060,0.0864119999,0.0827104658,0.0789843082,0.0752270971,0.0714324883,0.0675961934,0.0637166116,0.0597935531,0.0558258093,0.0518091661,0.0477362340,0.0435984021,0.0393890011,0.0351060346,0.0307529864,0.0263370551,0.0218651978,0.0173392309,0.0127519474,0.0080865387,0.0033209838,-0.0015628442,-0.0065674098,-0.0116682763,-0.0168073330,-0.0218934550,-0.0268102574,-0.0314298398,-0.0356274477,-0.0392906646,-0.0423227443,-0.0446563312,-0.0462348151,-0.0471501660,-0.0473901327,-0.0470056901,-0.0458441613,-0.0445865327,-0.0431048995,-0.0406488053,-0.0389303896,-0.0372972592,-0.0341303341,-0.0324168718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0828589767,0.0852361708,0.0880975010,0.0924090314,0.0953859572,0.0990779849,0.1022621439,0.1056146413,0.1092400506,0.1126122786,0.1158769520,0.1189584658,0.1216281228,0.1237953940,0.1253523886,0.1262211704,0.1263600210,0.1257743057,0.1245123045,0.1226525010,0.1202923517,0.1175386601,0.1144959920,0.1112553076,0.1078867086,0.1044384151,0.1009404085,0.0974096234,0.0938543840,0.0902774479,0.0866779579,0.0830526884,0.0793969301,0.0757054930,0.0719740619,0.0682003547,0.0643840931,0.0605253987,0.0566224289,0.0526697874,0.0486589125,0.0445805467,0.0404282155,0.0362010203,0.0319042642,0.0275473082,0.0231390829,0.0186825976,0.0141705989,0.0095849875,0.0049019195,0.0001022758,-0.0048154543,-0.0098241326,-0.0148624320,-0.0198366122,-0.0246292287,-0.0291131540,-0.0331670748,-0.0366872867,-0.0395933017,-0.0418329137,-0.0433875986,-0.0442702708,-0.0445147194,-0.0441816209,-0.0433168884,-0.0421524128,-0.0407301673,-0.0388579032,-0.0371615198,-0.0354319223,-0.0328750948,-0.0310192239,-0.0275507627,-0.0256554951,-0.0240396990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0761278384,0.0784414909,0.0820643817,0.0847248475,0.0877247309,0.0914650175,0.0946626491,0.0981174695,0.1014364440,0.1048068916,0.1082201961,0.1115313299,0.1147089400,0.1176617086,0.1202744600,0.1224257033,0.1240093065,0.1249457564,0.1251915041,0.1247440076,0.1236383298,0.1219394018,0.1197336761,0.1171200977,0.1141992537,0.1110623761,0.1077833492,0.1044158065,0.1009946842,0.0975399622,0.0940606946,0.0905586321,0.0870312782,0.0834741434,0.0798821409,0.0762505515,0.0725759780,0.0688570180,0.0650938984,0.0612868096,0.0574337409,0.0535292240,0.0495649985,0.0455325578,0.0414264828,0.0372469696,0.0330002091,0.0286960980,0.0243437164,0.0199458870,0.0154949627,0.0109724956,0.0063547635,0.0016238231,-0.0032191327,-0.0081428263,-0.0130812278,-0.0179367544,-0.0225906191,-0.0269179128,-0.0308034198,-0.0341536009,-0.0369021023,-0.0390108803,-0.0404700061,-0.0412965676,-0.0415321388,-0.0412433334,-0.0405215953,-0.0394638813,-0.0381513296,-0.0365971929,-0.0349691877,-0.0332357785,-0.0311383739,-0.0292153988,-0.0264807303,-0.0245351686,-0.0227429800,-0.0195475354,-0.0178136254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0695720995,0.0718664771,0.0753883361,0.0779735715,0.0812428176,0.0841464264,0.0872503226,0.0906518207,0.0939376359,0.0972948687,0.1006288002,0.1039566243,0.1072485607,0.1104599917,0.1135329376,0.1163923152,0.1189421639,0.1210752971,0.1226899793,0.1237051341,0.1240715878,0.1237766492,0.1228422404,0.1213196902,0.1192833228,0.1168227522,0.1140332729,0.1110054525,0.1078165273,0.1045257495,0.1011738215,0.0977850184,0.0943705752,0.0909325731,0.0874677570,0.0839706014,0.0804352646,0.0768567445,0.0732317144,0.0695589385,0.0658387211,0.0620712633,0.0582547309,0.0543842899,0.0504529149,0.0464537867,0.0423832114,0.0382426391,0.0340386620,0.0297806249,0.0254763378,0.0211271474,0.0167243815,0.0122496490,0.0076808242,0.0030032968,-0.0017768185,-0.0066223520,-0.0114615876,-0.0161930572,-0.0206974802,-0.0248537695,-0.0285547695,-0.0317183952,-0.0342919230,-0.0362509066,-0.0375964070,-0.0383531804,-0.0385684574,-0.0383096450,-0.0376581029,-0.0366953333,-0.0354901518,-0.0340977449,-0.0325558526,-0.0308817930,-0.0290318088,-0.0271364926,-0.0249307595,-0.0229734245,-0.0210549105,-0.0184205590,-0.0165148628,-0.0131849728,-0.0113492449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
